0	18.243	0	13.7038	2.05	0	0.123689	1.91	0	0.363456	1.83	1.22183	1.39266	1.39	1.58051	0.880001	1.32	0	0.165529	1.25	19.9305	2.11542	1.1	9.71333	0.161246	1.03	0.150001	0.514781	0.95	0	0.16553	0.88	0	0.170001	0.81	4.235	0.165529	0.73	0.22	0.266272	0.66	45.8361	1.18271	0.59	11.2683	0.332415	0.73	0.389993	0
1	0.73	0	1.20541	0.95	0.645921	0.378553	0.88	35.7432	0.637266	0.81	41.4964	0.629679	0.73	5.77268	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.73	0.676835	0.300003	0.81	0	0.230869	0.88	16.9286	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.88	4.55797	0.887692	0.81	7.89951	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.81	82.6028	1.62151	0.95	6.17097	0.219986	1.03	0	1.10001	1.1	0	0.541206	1.17	3.40729	0.439987	1.25	1.3837	1.62	1.69	3.60441	2.2111	3.37	0	1.98001	5.21	0.256329	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.81	0	0.964412	0.37	110.524	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.37	171.474	1.12004	0.22	2.16715	0.335414	0.29	98.4315	1.83139	0.22	57.5113	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.37	0	1.18449	0.22	7.15014	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.88	0	1.9443	0.29	72.1609	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.73	0	0.837432	0.44	1.21627	0.55543	0.37	0.711826	0.165534	0.29	0.220001	0.298328	0.22	1.31248	0.37656	0.29	0.467008	0.65742	0.22	64.8373	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.73	0	0.503692	0.29	10.0107	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
