0	17.134	0	11.683	2.21	0	4.036	1.62	0.106301	3.05439	1.32	3.45444	2.33944	1.03	3.09659	1.0102	0.96	27.7095	0.106303	0.88	0	0.165529	0.81	39.8911	0
1	0.81	0	0.468617	0.29	16.3704	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.81	3.37561	0.300003	0.74	0	0.170001	0.66	19.4007	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.66	0	0.665582	0.37	9.44877	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.37	0	0.514781	0.29	7.89592	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.37	0	0.823893	0.29	20.2203	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.66	0	1.29441	0.74	5.47364	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.74	0	0.3	0.29	84.9667	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.74	0	0.969227	0.66	8.6389	1.49215	0.74	3.0499	0.445536	0.51	1.22477	1.10453	0.66	7.89376	0.921793	0.51	14.422	0.807597	1.1	2.07183	0	-1	-1	-1
9	1.1	0	0.858663	1.18	0.411826	2.47553	0.59	0	0.149994	0.66	20.1758	2.1231	0.51	17.2619	1.23693	0.59	25.1206	0	-1	-1	-1	-1	-1	-1
10	1.1	0	1.00574	0.51	6.86055	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.51	0	0.496484	0.37	128.93	1.47167	0.29	143.569	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.29	279.78	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0.29	0	1.59742	0.22	39.0197	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	0.29	84.0355	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.29	58.2854	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0.29	9.54064	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0.29	88.9408	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0.51	0	1.60754	0.44	16.634	0.169994	0.37	13.6397	0.681177	0.29	146.158	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	0.29	26.7213	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	0.29	148.928	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	0.29	8.22581	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	0.29	245.714	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
