0	18.786	0	11.6906	1.6	0	1.52555	1.48	11.4318	0.9995	1.23	3.15014	0.99975	0.99	52.0017	0.509902	0.86	31.1037	0.728906	0.74	38.7509	0.427318	0.62	100.274	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0.62	65.1879	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.62	166.187	0.950708	0.86	29.8028	0.5	0.99	56.475	1.25976	1.73	0	1.62931	1.97	0	1.52638	2.22	1.22998	1.23999	2.46	5.19713	1.83762	1.97	0.433849	1.30176	0.74	1.69743	0.369995	0.37	6.00014	0.449332	0.25	36.8905	0.808951	0.12	56.0674	0
3	0.62	0	1.45687	0.22	45.0554	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.22	15.6682	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.22	46.0528	2.88257	0.29	38.4411	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.62	0	0.90846	0.29	13.7923	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.29	51.2224	3.05426	0.22	31.4319	0.886166	0.29	35.9118	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.29	21.7238	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.29	26.3184	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.29	18.6311	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
