0	19.097	0	10.9407	1.68	1.76656	0.169706	1.56	0.12	0.169706	1.44	0	0.169706	1.32	1.11607	0.169706	1.2	0.169706	0.268328	1.08	0.529705	0.268328	0.96	8.54363	0.169705	0.84	22.5274	1.12894	0.6	61.9838	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0.6	0	0.23195	0.36	0.409699	0.169707	0.48	8.63129	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.48	5.99602	0.706819	0.6	1.99293	0.120003	0.36	15.5265	0.602077	0.48	21.149	0.339419	0.6	0.678816	0.239998	0.72	0.339414	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.72	0	0.398251	0.36	2.43095	0.119995	0.48	13.2229	0.169715	0.36	8.42092	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.36	0	0.441023	0.48	16.7515	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.48	71.3982	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.48	0	0.427312	0.84	1.3852	1.08665	0.72	5.19791	0.240005	0.84	0	0.268324	0.96	0.16971	0.268317	1.08	1.11608	0.169699	1.2	0	0.268331	1.32	0	0.23999	1.44	0.268338	0.240005	1.92	0	0.169699	2.41	0	0.119995	2.53	0	0.119995	2.77	0	0.16972	3.01	0	0.479996	3.13	0.346627	0.169699	3.61	0	0.379472	3.73	0.169699	0.586933	0.12	1.58244	0.909507	0.48	23.465	0
7	0.48	0	0.249199	0.12	0.479996	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.48	58.5052	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.48	0	0.275861	0.12	0.579429	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
