0	0	94.0261	0.836718	-35.63	97.861	0	4.26	19.39	-7.5	-1	2	2	1
1	94.0261	8.61096	0.24	4.26	19.39	-7.5	10.47	21.1	-8	0	0	-1	-1
2	94.0261	13.7756	0.24	4.26	19.39	-7.5	7.3	7.16	-7.5	0	2	4	3
3	107.802	19.2988	0.24	7.3	7.16	-7.5	13.89	15.23	-7	2	0	-1	-1
4	107.802	18.7781	0.24	7.3	7.16	-7.5	20.47	4.46	-5.5	2	2	10	5
5	126.58	57.7482	0.24	20.47	4.46	-5.5	-23.79	-1.41	1.5	4	2	7	6
6	184.328	31.3014	0.24	-23.79	-1.41	1.5	-49.52	6.42	7.5	5	0	-1	-1
7	184.328	650.187	0.24	-23.79	-1.41	1.5	-438.29	436.43	6	5	2	9	8
8	834.515	25.9671	0.24	-438.29	436.43	6	-440.97	458.2	3	7	0	-1	-1
9	834.515	2.08568	0.24	-438.29	436.43	6	-440.24	437.17	6	7	0	-1	-1
10	126.58	30.2763	0.24	20.47	4.46	-5.5	44.13	9.85	-4.5	4	2	20	11
11	156.856	69.3428	0.24	44.13	9.85	-4.5	36.33	65.86	6	10	2	19	12
12	226.199	477.709	0.24	36.33	65.86	6	-162.45	369.17	61.5	11	2	18	13
13	703.907	180.146	0.24	-162.45	369.17	61.5	-287.2	437.41	59.5	12	2	17	14
14	884.054	41.2819	0.24	-287.2	437.41	59.5	-317.44	419.07	61.5	13	2	16	15
15	925.336	12.7168	0.24	-317.44	419.07	61.5	-322.81	411.24	62	14	0	-1	-1
16	925.336	12.7164	0.24	-317.44	419.07	61.5	-324.51	410.75	62	14	0	-1	-1
17	884.054	14.3997	0.24	-287.2	437.41	59.5	-292.56	429.1	62	13	0	-1	-1
18	703.907	76.4383	0.24	-162.45	369.17	61.5	-197.45	410.02	56	12	0	-1	-1
19	226.199	44.5359	0.24	36.33	65.86	6	62.91	57.3	10	11	0	-1	-1
20	156.856	222.9	0.24	44.13	9.85	-4.5	228.03	-24.89	14.5	10	2	30	21
21	379.757	117.046	0.24	228.03	-24.89	14.5	299.73	32.35	36	20	2	29	22
22	496.803	59.6829	0.24	299.73	32.35	36	310.71	65.13	46	21	2	28	23
23	556.486	355.789	0.24	310.71	65.13	46	400.46	349.84	61	22	2	27	24
24	912.274	47.223	0.24	400.46	349.84	61	429.36	374.3	63	23	2	26	25
25	959.497	140.578	0.24	429.36	374.3	63	500.82	461.63	63	24	0	-1	-1
26	959.497	25.074	0.24	429.36	374.3	63	442.04	391.18	63.5	24	0	-1	-1
27	912.274	12.2975	0.24	400.46	349.84	61	395.83	358.41	61	23	0	-1	-1
28	556.486	22.7481	0.24	310.71	65.13	46	315.34	55.34	49	22	0	-1	-1
29	496.803	3.1645	0.24	299.73	32.35	36	301.44	34.55	34.5	21	0	-1	-1
30	379.757	585.638	0.24	228.03	-24.89	14.5	689.6	-76.5	63	20	0	-1	-1
31	0	7.36303	6.16048	-35.63	97.861	0	-31.58	92.82	-2.5	-1	2	33	32
32	7.36303	43.3634	0.245037	-31.58	92.82	-2.5	-26.34	79.61	-1.5	31	0	-1	-1
33	7.36303	11.4294	0.49	-31.58	92.82	-2.5	-23.29	87.69	-4.5	31	2	35	34
34	18.7924	10.0394	0.276717	-23.29	87.69	-4.5	-18.78	84.75	-5	33	0	-1	-1
35	18.7924	82.1227	0.246048	-23.29	87.69	-4.5	35.86	64.69	1	33	2	37	36
36	100.915	62.5085	0.24	35.86	64.69	1	69.39	18.22	5.5	35	0	-1	-1
37	100.915	147.36	0.24	35.86	64.69	1	161.34	25.56	5.5	35	0	-1	-1
38	0	119.488	0.555484	-35.63	97.861	0	18.9	25.31	12	-1	0	-1	-1
39	0	27.2962	3.36375	-35.63	97.861	0	-49.39	88.66	-7	-1	2	41	40
40	27.2962	22.9143	0.24	-49.39	88.66	-7	-60.36	91.36	-6	39	0	-1	-1
41	27.2962	6.62652	0.24	-49.39	88.66	-7	-52.56	86.71	-7.5	39	0	-1	-1
