0	17.532	0	6.3767	1.35	14.9142	2.03106	0.98	15.5253	0.766486	0.86	82.6286	2.84113	0.74	71.3973	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0.74	0	3.78192	0.29	14.3693	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.29	51.4999	1.5386	0.22	205.832	1.06512	0.29	42.3344	1.19055	0.51	3.53945	0.474351	0.59	0	0.106291	0.74	0	0.220001	0.81	0.843295	0.461738	1.1	5.18833	0.379974	1.18	0.465539	0.376559	1.03	0	0.169995	0.96	0	0.150024	0.88	3.11164	0.110909	2.5	0	0
3	0.29	0	0.663699	0.22	105.426	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.22	0	0.771879	0.29	6.17305	1.17175	0.22	1.62846	1.19645	0.29	23.2603	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.29	58.1999	0.370003	0.37	0	0.165531	0.44	0.629659	0.170002	0.66	0	0.308061	0.74	0.598235	0.266266	0.81	0	0.266272	0.88	0	0.43566	0.96	0.535041	0.260762	1.1	0	0.106303	1.32	0.756638	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.29	74.3114	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.22	2.92467	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.74	59.3213	1.73521	0.86	16.5277	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.86	21.6938	1.98583	0.74	72.2954	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.86	0	2.5741	0.29	1.34465	0.964425	0.22	3.01944	0.47635	0.74	2.5286	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
