0	0	21.9587	3.38078	-1.419	0.791	0	-16.75	-12.48	3	-1	2	6	1
1	21.9587	85.7288	0.24	-16.75	-12.48	3	-27	-85.37	5.5	0	2	5	2
2	107.687	96.2517	0.24	-27	-85.37	5.5	35.07	-115.21	12	1	2	4	3
3	203.939	100.892	0.24	35.07	-115.21	12	118.49	-95.89	12.5	2	0	-1	-1
4	203.939	15.2072	0.24	35.07	-115.21	12	41.54	-122.31	14.5	2	0	-1	-1
5	107.687	123.084	0.24	-27	-85.37	5.5	-80.9	-164.87	15	1	0	-1	-1
6	21.9587	43.1866	0.24	-16.75	-12.48	3	-52.85	-34.25	3.5	0	2	12	7
7	65.1453	27.1329	0.24	-52.85	-34.25	3.5	-76.14	-34	-1	6	2	11	8
8	92.2781	111.936	0.24	-76.14	-34	-1	-162.24	-59.93	-4	7	2	10	9
9	204.214	66.0109	0.24	-162.24	-59.93	-4	-206.38	-88.8	-8.5	8	0	-1	-1
10	204.214	20.8009	0.24	-162.24	-59.93	-4	-158.58	-69.72	-1	8	0	-1	-1
11	92.2781	89.3516	0.24	-76.14	-34	-1	-123.58	-13.46	-8	7	0	-1	-1
12	65.1453	46.8968	0.24	-52.85	-34.25	3.5	-76.14	-72.41	3.5	6	2	18	13
13	112.042	69.4164	0.24	-76.14	-72.41	3.5	-123.7	-116.44	-1.5	12	2	15	14
14	181.459	68.2609	0.24	-123.7	-116.44	-1.5	-131.38	-123.28	-2	13	0	-1	-1
15	181.459	19.6112	0.24	-123.7	-116.44	-1.5	-139.55	-124.26	1.5	13	2	17	16
16	201.07	191.163	0.24	-139.55	-124.26	1.5	-279.43	-215.01	2.5	15	0	-1	-1
17	201.07	111.704	0.24	-139.55	-124.26	1.5	-222.36	-113.26	11.5	15	0	-1	-1
18	112.042	99.4909	0.24	-76.14	-72.41	3.5	-129.8	-141.38	17.5	12	0	-1	-1
