0	20.03	0	16.9928	1.62	0	1.81135	1.4	0	1.97474	1.25	8.05075	2.13886	0.96	17.5833	1.68745	0.88	10.9785	1.44814	0.96	1.63973	1.586	0.88	16.592	1.29236	0.74	40.6462	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0.74	0	1.31278	0.96	0.430771	0.73709	0.74	4.40205	0.266268	0.81	25.1272	2.54564	0.88	0	1.15261	0.81	3.40004	0.212123	0.88	21.1945	2.02708	1.1	0.318431	1.96492	1.25	0	1.34238	1.1	0	0.898723	0.96	0	0.970974	1.25	0.776296	1.52834	2.35	2.71315	0.230867	2.5	0.170009	0.165521	2.57	0.449997	0.165541	2.65	1.4536	0
2	2.65	0	1.5662	1.03	0	0.584212	0.59	0.678143	0.212134	0.51	8.82735	1.97363	0.44	34.1953	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.44	0	1.34321	1.03	0.106308	1.18207	0.51	5.96954	0.260756	0.44	0.443465	0.106308	0.37	0.557176	0.11314	0.29	13.6435	0.94885	0.37	130.212	0.663705	0.29	43.2902	1.84399	0.51	6.64629	0.165527	0.44	0.491829	0.149994	0.37	43.6355	2.38844	0.29	227.698	1.14497	0.22	3.02678	0.833896	0.29	49.5048	1.21406	0.22	66.5315	1.28415	0.29	396.758	0
4	0.29	13.2416	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.29	6.30884	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.44	0	0.977757	0.29	65.801	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	2.65	0	1.28538	1.69	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.74	0	0.630072	0.29	8.64146	0.68081	0.37	1.6831	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.37	0	1.22106	0.29	4.82343	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
