0	21.316	0	13.2613	1.98	2.98798	1.88587	1.85	1.49846	0	-1	-1	-1	-1	-1	-1
1	1.85	0	2.7466	0.12	124.941	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.12	36.2248	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.12	62.2966	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	1.85	0.460001	1.14464	1.48	7.05775	0.899445	1.23	28.5082	1.18174	0.86	50.1799	0.855629	0.74	20.7927	0
5	0.74	37.6666	1.61304	0.49	394.849	0.960202	0.99	3.64895	1.0942	1.36	12.8935	0	-1	-1	-1
6	0.74	0	1.4047	0.62	3.56628	0.898333	0.49	3.85642	0.781025	0.25	8.95982	0	-1	-1	-1
7	0.25	106.459	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.25	497.163	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
