0	18.448	0	9.26335	2	0	3.79223	1.33	14.7791	6.5188	0.67	43.2572	0
1	0.67	3.95101	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.67	0	7.20626	0.33	7.89253	0	-1	-1	-1	-1	-1	-1
3	0.33	71.1555	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.33	375.55	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.33	56.9711	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.33	9.51111	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.33	37.1107	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.33	99.7909	2.49457	0.34	0	0	-1	-1	-1	-1	-1	-1
9	0.34	0	1.9424	0.33	167.309	0	-1	-1	-1	-1	-1	-1
10	0.34	0	2.62071	0.33	41.5882	0	-1	-1	-1	-1	-1	-1
11	0.33	73.7563	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.33	102.393	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0.67	0	4.11836	0.33	44.5403	0	-1	-1	-1	-1	-1	-1
14	0.33	75.7592	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.33	38.5553	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0.33	235.663	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0.33	187.187	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0.33	6.87166	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	0.33	104.765	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	0.33	37.0685	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	0.33	173.004	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	0.33	309.558	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	0.33	38.1755	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	0.33	37.326	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	0.33	189.653	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	0.33	44.3731	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	0.33	225.129	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	0.67	50.9489	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	0.67	0	9.845	0.33	45.6808	0	-1	-1	-1	-1	-1	-1
30	0.33	91.0434	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	0.33	178.448	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	0.33	353.575	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	0.33	525.7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	0.33	69.6182	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	0.33	150.457	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	0.33	89.6793	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	0.33	43.7023	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	0.67	14.0078	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	0.67	0	7.5015	0.33	59.566	0	-1	-1	-1	-1	-1	-1
40	0.33	78.6811	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	0.33	30.5062	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	0.33	21.7331	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	0.33	289.552	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	0.67	138.117	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	0.67	0	8.47157	0.33	0	0	-1	-1	-1	-1	-1	-1
46	0.33	44.0402	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	0.33	17.2521	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	0.33	199.823	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	0.33	257.313	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	0.67	15.5567	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	0.67	0	2.99594	0.33	54.2024	0	-1	-1	-1	-1	-1	-1
52	0.33	53.1607	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	0.33	131.964	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	0.33	123.251	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	0.33	146.025	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	0.33	4.165	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	0.33	3.66786	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	0.33	108.603	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	0.33	135.496	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	0.33	7.81173	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	0.33	172.537	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	0.33	24.5371	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	0.33	6.69438	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	0.67	70.2097	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	0.67	0	11.203	0.33	100.698	0	-1	-1	-1	-1	-1	-1
66	0.33	56.397	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	0.33	64.7691	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	0.67	115.844	2.35638	0.33	658.238	0	-1	-1	-1	-1	-1	-1
