0	15.239	0	100.995	1.07	5.0631	0	-1	-1	-1	-1	-1	-1
1	1.07	0	2.38379	1.43	18.1054	5.01638	1.07	8.53105	0	-1	-1	-1
2	1.07	0	3.44246	1.43	3.66425	0	-1	-1	-1	-1	-1	-1
3	1.43	8.04992	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	1.43	35.7166	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	1.43	13.1983	4.928	1.07	29.8069	0	-1	-1	-1	-1	-1	-1
6	1.07	4.98043	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1.07	32.232	3.92222	0.36	39.4461	0	-1	-1	-1	-1	-1	-1
8	1.07	0	4.14054	0.72	9.09333	0	-1	-1	-1	-1	-1	-1
9	0.72	24.3034	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.72	10.4213	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.72	17.3907	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.72	0	4.38077	1.07	2.72822	4.25164	0.72	18.8914	0	-1	-1	-1
13	1.07	0	5.67274	1.43	3.07013	5.79473	1.07	14.3905	6.14535	0.72	492.131	0
14	0.72	36.0378	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.72	150.071	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	1.43	24.2832	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	1.43	0	8.3985	1.07	21.1205	0	-1	-1	-1	-1	-1	-1
18	1.07	0	3.86588	0.72	25.3893	0	-1	-1	-1	-1	-1	-1
19	1.07	0	5.59354	0.72	7.56355	0	-1	-1	-1	-1	-1	-1
20	0.72	21.6937	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	0.72	25.557	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	1.43	13.0724	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	1.43	0	5.09567	1.07	3.81731	0	-1	-1	-1	-1	-1	-1
24	1.07	43.3912	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	1.07	8.51325	4.04601	0.72	1.13217	0	-1	-1	-1	-1	-1	-1
26	0.72	11.3768	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	0.72	50.8632	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	1.43	0	6.21952	0.72	4.49968	0	-1	-1	-1	-1	-1	-1
29	0.72	11.3098	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	0.72	31.3876	6.9684	0.36	133.938	0	-1	-1	-1	-1	-1	-1
