0	17.3694	0	10.4615	2.5	0	1.83243	1.32	0.165529	1.32	0.66	0.514782	0.733348	0.59	106.792	0
1	0.59	0	7.08767	0.29	33.7987	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.59	0	1.68437	0.51	260.655	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.51	0	6.82023	0.29	5.93764	0.629679	0.22	18.5675	0	-1	-1	-1	-1	-1	-1
4	0.51	120.388	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.51	0	5.15851	0.37	2.56574	0.150002	0.29	95.1071	2.87927	0.22	198.179	0	-1	-1	-1
6	0.51	20.5601	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.51	0	0.895141	1.32	0	0.779878	0.59	7.92609	0.947531	0.44	5.22588	0	-1	-1	-1
8	0.44	0	3.99214	0.37	15.8876	1.38494	0.29	20.0746	0	-1	-1	-1	-1	-1	-1
9	0.29	0	2.02233	0.37	5.44342	0.595387	0.29	119	0	-1	-1	-1	-1	-1	-1
10	0.29	5.82378	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.29	0	0.864977	0.37	5.9869	2.22058	0.29	60.2046	0	-1	-1	-1	-1	-1	-1
12	0.29	101.147	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0.44	0	1.30958	0.29	68.6399	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	0.29	143.22	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.29	83.5032	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0.29	36.6928	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0.29	68.4088	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0.29	5.96128	1.00284	0.22	40.5418	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	0.29	22.0647	4.41195	0.22	635.199	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	0.51	0	1.0432	0.37	70.4403	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
