0	18.797	0	10.8357	0.84	17.2723	0.497294	1.2	4.00686	0.6	1.08	7.88014	0.268326	0.96	19.3184	0.769999	0.84	14.1608	0.379475	0.96	4.75398	1.02703	0.72	70.2303	0.678822	0.48	16.7072	0.169704	0.6	0	0.239998	0.84	0	0.16971	0.96	0.438033	0.169704	1.08	0	0.169704	1.32	0.339414	0.339408	1.44	0.169704	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	1.44	0	1.2926	0.84	2.19118	0.19698	0.72	0.169704	0.268327	0.6	2.72191	0.239998	0.48	571.272	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1.44	0	17.5264	0.72	28.4696	0.16971	0.6	25.0775	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.6	21.8321	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.6	2.29553	0.240005	0.72	0	0.169699	0.84	0	0.16972	0.96	0.847742	0.169699	0.84	0	0.169699	0.72	0.339419	0.169699	0.6	57.0757	4.85875	0.72	0.509118	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.72	0	0.613927	0.24	101.611	4.57053	0.6	14.3946	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.72	0	4.22678	0.6	2.65569	0.169699	0.48	0.16971	0.16971	0.36	1.5613	0.240005	0.72	0	0.16971	0.96	0.119995	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.96	0	0.784212	0.6	2.41629	0.16971	0.48	2.14662	0.16971	0.36	5.18812	0.119995	0.48	7.49802	0.479996	0.6	15.6192	0.119995	0.72	0	0.240005	1.08	0	0.12001	1.2	0	0.23999	1.32	0.240005	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1.32	0	1.01573	0.48	7.7841	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.48	47.5218	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.48	129.774	0.169699	0.72	1.04577	0.268331	0.84	0	0.937231	0.48	145.093	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.48	209.272	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
