0	18.727	0	13.3733	0.98	30.8056	9.07271	0.73	30.3356	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0.73	0	4.69142	0.24	171.668	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.73	12.9693	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0.73	0	5.48234	0.24	4.21552	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.24	19.418	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.24	100.258	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.73	16.2304	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.73	0	1.50708	0.24	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.24	72.8619	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.24	40.9304	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0.73	7.35799	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.73	0	3.42248	0.24	5.33179	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.73	0	6.88568	0.49	202.714	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0.49	0	3.58387	0.24	13.9134	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	0.24	130.227	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.24	82.6768	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0.49	414.458	3.01959	0.73	15.9403	5.51855	1.22	10.7083	5.14342	1.71	4.15174	2.69122	3.9	0	1.84775	6.83	0	0
