0	12.665	0	5.45692	1.99	0	1.12925	1.47	0	2.04071	0.96	2.81913	1.79	0.81	2.62681	0
1	0.81	0	2.07287	0.22	15.6059	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0.81	1.24106	0.106301	0.74	0	0.170001	0.66	0	0.165529	0.59	5.10019	0	-1	-1	-1
3	0.59	0	0.832466	0.22	12.478	0.440001	0.29	3.74795	0.165529	0.22	73.954	0	-1	-1	-1
4	0.22	0	0.910824	0.29	9.57332	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0.22	5.19878	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.59	10.9053	1.46578	0.51	41.0205	0.658635	0.37	0.86183	0	-1	-1	-1	-1	-1	-1
7	0.37	11.759	1.65363	0.44	12.9155	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0.44	0.220512	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0.44	0.220512	0.673645	1.1	0.449997	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1.1	0	1.28802	0.51	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.51	0	0.980819	0.44	78.512	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.44	0	0.582924	0.29	11.8431	1.87566	0.44	16.9952	0	-1	-1	-1	-1	-1	-1
13	0.44	86.4335	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	0.44	0	1.86786	0.29	4.69274	0.16553	0.22	83.2325	1.99079	0.15	23.448	0	-1	-1	-1
15	0.44	76.3063	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0.44	5.81144	1.01608	0.37	143.897	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0.37	0	1.02713	0.29	156.359	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0.29	2.53865	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	0.29	40.7258	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	0.29	9.5473	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	0.29	8.4176	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	0.37	17.1132	0.399254	0.29	64.0633	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	0.29	213.509	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	0.29	4.85194	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	0.44	99.5154	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	0.51	0	1.3	0.37	4.44068	0.988384	0.29	98.1122	0	-1	-1	-1	-1	-1	-1
27	1.1	0	0.541203	0.37	30.0095	1.31118	0.29	33.5285	0	-1	-1	-1	-1	-1	-1
28	0.29	0	0.745251	0.37	11.8741	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	0.37	0	0.622012	0.29	135.824	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	0.37	11.6872	0.59	0.29	10.2056	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	0.29	25.4679	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	0.29	1.34394	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	0.29	58.0654	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	0.29	5.35186	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	0.29	13.9081	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	0.29	5.39682	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	0.29	32.9674	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	0.29	1.66957	0.85147	0.22	26.9629	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	0.29	11.4375	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	0.44	0	3.27942	0.37	66.8378	0.34986	0.44	197.602	0	-1	-1	-1	-1	-1	-1
41	0.44	0	2.53777	0.29	74.221	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	0.29	40.4741	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	0.29	14.9307	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	0.29	29.2783	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	0.29	116.495	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	0.37	0	0.460219	0.22	20.0962	0.629683	0.29	14.5666	0	-1	-1	-1	-1	-1	-1
47	0.29	25.7081	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	0.29	7.67805	1.59201	0.22	67.2425	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	0.29	0	1.72482	0.22	5.74427	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	0.29	0	0.702707	0.37	2.75269	1.05	0.29	46.6933	0	-1	-1	-1	-1	-1	-1
51	0.29	4.91071	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	0.29	18.701	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	0.29	0	0.706682	0.37	5.937	0.972522	0.29	42.8179	0	-1	-1	-1	-1	-1	-1
54	0.29	14.5421	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	0.29	0	0.680955	0.37	10.3309	0.677201	0.29	56.2339	0	-1	-1	-1	-1	-1	-1
56	0.29	70.9754	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	0.29	4.84361	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	0.29	6.66381	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	0.29	98.3744	0.863768	0.37	5.86447	0.165531	0.29	32.2551	0	-1	-1	-1	-1	-1	-1
60	0.29	7.96175	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	0.29	5.69801	0.472753	0.22	2.6305	0.629687	0.29	14.3975	0	-1	-1	-1	-1	-1	-1
62	0.29	51.1983	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	0.29	78.918	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	0.29	27.8494	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	0.29	12.8534	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	0.29	72.0958	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
